,255,24,71,8,10,368
,24,299,24,24,16,387
,55,14,183,28,35,315
,30,8,13,289,13,353
,21,35,22,26,265,369
,,,,,,1792
,,,,,,
Accuracy,71.84,,,,,
,1797,,,,,
